ISIN,Fund Name,SFDR,Sustainabilty Theme,Fund Provider,Fund Launch - start,Fund Currency,Funds Description,Funds Domicile,Benchmark ,Geography,AuM 2022 - amount USD mios,Perf 1Y USD,Impact Investing,Negative Screening,Positive Screening,Responsible Investments,SRI,ESG Rating,UNCTAD Sensitive sectors,Weapon ,Cluster bombs / Nuclear Weapons (NPT) ,Tobacco ,Gambling ,Pornography ,GMO ,Nuclear ,Alcohol ,Fossil fuels ,Coal ,Clean tech ,Net climate impact,UNCTAD SDG Alignment,Water and sanitation,Transport infrastructure,Telecommunications infrastructure,Power,Health,Food and agriculture,Education,Eco-systems/biodiversity,Climate change mitigation,Climate change adaptation,Portfolio weighted Co2 (Kt Co2 total) ,Portfolio weighted Co2 Intensity (tCO2/mio Revenues $),SBTi,No Info,SBTI - Committed,SBTI - Targets Set 2°C,SBTI - Targets Set Well-below 2°C,SBTI - Targets Set 1.5°C
US1011568839,Boston Trust SMID Cap Fund,N/A,SRI,Walden Asset Management,"40,877.00",USDollar,"The Fund seeks long-term capital growth through an actively managed portfolio of stocks of small to middle capitalization companies. The Fund invests at least 80% of its assets in a diversified portfolio of equity securities, such as common and preferred stock, of domestic small and mid cap companies.",USA,Russell 2500 TR,United States of America,531.54,-0.12,,,,TRUE,,7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.01,0.01,-0.06,0.23,0.00,0.00,0.02,0.03,0.16,0.05,0.00,0.00,0.00,0.00,207.09,81.46,% Targets set,0.70,0.15,0.00,0.05,0.09
AT0000A261F9,Raiffeisen-PAXetBONUM-Aktien (R) T,Article 8,SRI,Raiffeisen Capital Management m.b.H.,"43,556.00",Euro,"The fund is an equity fund. As an investment objective, it aims for long-term capital growth while accepting higher risks. It invests exclusively in securities and / or money market instruments whose issuers have been rated sustainable on the basis of social, environmental and ethical criteria.",Austria,Index is not provided by Management Company,Global,21.27,-0.25,,"ex Weapons, ex GMO",,TRUE,,7,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.12,0.12,0.17,0.00,0.00,0.02,0.01,0.14,0.01,0.00,0.00,0.00,0.00,"1,234.42",59.64,% Targets set,0.42,0.21,0.00,0.05,0.29
SE0010049197,Ohman Marknad Global A,Article 8,SRI,E Ohman J:or Fonder AB,"43,019.00",SwedishKrona,hman Market Global B is an equity fund with the aim of creating an attractive risk-adjusted return through a well-diversified exposure to the equity markets that are categorized as global developed equity markets in the fund's benchmark index. The fund is managed sustainably.,Sweden,MSCI World NR USD,Global,848.26,-0.23,,"ex Weapons, ex Tobacco, ex Adult Entertainment, ex Nuclear, ex Alcohol or Drugs, ex Fossil Energy",,TRUE,,7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.00,0.04,0.03,0.22,0.00,0.00,0.01,0.01,0.16,0.04,0.00,0.00,0.00,0.00,"2,184.08",68.61,% Targets set,0.32,0.21,0.02,0.06,0.37
LU1939214778,Nordea 1 - Global Gender Diversity BP USD,Article 9,Gender,Nordea Asset Management,"43,517.00",USDollar,"The Sub-fund invests its assets with a particular focus on companies demonstrating sustainability, and a high level of gender diversity and equality in management. Eligible assets The Sub-fund invests globally and a minimum of three-fourths of its Total Assets in Equity Related Securities.",Luxembourg,MSCI AC World NR USD,Global,232.75,-0.20,Sustainable Development Goals (SDGs),"ex Weapons, ex Other",,TRUE,,7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.03,0.01,0.03,0.00,0.24,0.00,0.01,0.01,0.03,0.19,0.03,0.00,0.01,0.00,0.00,"1,897.68",104.13,% Targets set,0.33,0.14,0.01,0.02,0.47
LU1842711845,MS INVF Global Sustain A USD,Article 8,SRI,Morgan Stanley Investment Managmeent (Msim),"43,280.00",USDollar,"The investment objective of the Fund is to seek an attractive longterm rate of return, measured in US Dollars. The Fund will seek to achieve its investment objective by investing primarily in equity securities, including depositary receipts, of issuers located in any jurisdiction. The Fund may, on an ancillary basis, invest in equity securities of companies located in emerging markets, including China A-Shares via Stock Connect, in preference shares, debt securities convertible into common shares or preference shares, warrants on securities and other equity linked securities.",Luxembourg,MSCI World NR USD,Global,"1,029.46",-0.22,,"ex Weapons, ex Tobacco, ex Adult Entertainment, ex Alcohol or Drugs, ex Fossil Energy",,TRUE,,7,0.02,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.29,0.00,0.00,0.00,0.00,0.29,0.00,0.00,0.00,0.00,0.00,"1,116.24",26.26,% Targets set,0.37,0.18,0.01,0.05,0.36
IE00BK7ZBC60,Liontrust GF Sustainable Future Global Growth B1,Article 9,SRI,Liontrust Investment Partners,"43,781.00",USDollar,The investment objective of the Fund is to achieve long term capital growth by predominantly investing in a portfolio of global equities.,Ireland,MSCI World TR USD,Global,365.43,-0.31,,,,TRUE,,7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.25,0.00,0.00,0.02,0.00,0.22,0.00,0.01,0.00,0.00,0.00,410.08,29.80,% Targets set,0.42,0.23,0.00,0.05,0.30
AU60SSB57389,Franklin Global Responsible Investment,N/A,SRI,Franklin Templeton International,"43,614.00",AustralianDollar,"The Fund aims to earn an after-fee return in excess of the MSCI ESG Leaders Index (Performance Benchmark), in Australian dollars over rolling three-year periods. The total return of the Fund will be compared with the return of the Performance Benchmark. For portfolio construction purposes, the Fund will use the MSCI World Index, net dividends, expressed in Australian dollars (the Benchmark).",Australia,MSCI World NR AUD,Global,2.92,-0.14,,"ex Weapons, ex Tobacco, ex Adult Entertainment, ex Nuclear, ex Alcohol or Drugs, ex GMO, ex Fossil Energy, ex Other",,TRUE,,7,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.09,0.01,0.04,-0.05,0.22,0.00,0.00,0.00,0.01,0.17,0.04,0.00,0.01,0.01,0.00,"2,441.17",107.99,% Targets set,0.23,0.22,0.04,0.07,0.39
LU1674673428,HSBC GIF Global Lower Carbon Equity AC,Article 8,Low Carbon,Hsbc Asset Management,"43,005.00",USDollar,"The sub-fund aims to provide long-term total return by investing in a portfolio of equities of companies seeking a lower carbon footprint than its reference benchmark (the MSCI World Net Index). The sub-fund invests in normal market conditions a minimum of 90% of its net assets in equities and equity equivalent securities of companies which are domiciled in, based in, carry out the larger part of their business activities in, or are listed on a Regulated Market in, developed markets such as OECD countries. The sub-fund aims for lower exposure to carbon intensive businesses through portfolio construction. The sub-fund uses a multi-factor investment process to identify and rank the most attractive stocks in its investment universe.",Luxembourg,MSCI World NR USD,Global,249.01,-0.18,,"ex Weapons, ex Tobacco",,TRUE,,7,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.09,0.01,0.02,-0.07,0.16,0.00,0.00,0.00,0.00,0.13,0.03,0.00,0.00,0.00,0.00,"3,083.75",83.62,% Targets set,0.31,0.20,0.03,0.04,0.34
IE00BKFHTX17,Fisher Invts Instl Glb Sst Eq Imp ESG F USD,Article 9,SRI,Fisher Investments,"44,027.00",USDollar,The performance objective of the Fund is to outperform the MSCI All Country World Index (the Performance Benchmark) over a full market cycle. The impact objective of the Fund is to qualitatively and quantitatively maintain greater exposure to the United Nations Sustainable Development Goals (SDGs) than the Performance Benchmark in aggregate and on average over a full market cycle. Neither the Fund nor the Investment Manager guarantees any level of return or risk on investments and there is no assurance that the investment objectives of the Fund will actually be achieved.,Ireland,Index is not provided by Management Company,Global,1.04,-0.20,,,,TRUE,TRUE,7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.09,0.03,0.18,0.00,0.00,0.00,0.00,0.17,0.00,0.00,0.00,0.00,0.00,"2,349.47",33.44,% Targets set,0.30,0.21,0.00,0.02,0.46
IE00BD3FN257,Federated Hermes SDG Engmt Eq F EUR Acc,Article 8,SDG Impact,Hermes Investment Management,"43,098.00",Euro,"The Fund aims to increase the value of your investment over a rolling period of any five years alongside achieving positive societal impact aligned to the United Nations Sustainable Development Goals (UN SDG). The Fund is actively managed, and will invest at least 80% in shares of small and mid-capitalisation companies across global equity markets. On occasion it may also invest in other financial instruments, for example other funds and rated or Unrated Bonds and Derivatives.The benchmark, for performance comparison purposes only, is the MSCI All Country World SMID Index",Ireland,MSCI AC World SMID Cap TR USD,Global,NA,-0.19,,,,TRUE,,7,0.02,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.03,0.00,-0.08,0.20,0.00,0.00,0.00,0.03,0.11,0.06,0.00,0.03,0.00,0.00,667.19,256.11,% Targets set,0.75,0.10,0.00,0.04,0.03
FI0008801188,Evli Global B,Article 8,SRI,Evli Bank,"34,432.00",Euro,"The fund will invest in equities and equity-linked securities globally. The fund's investments are primarily developed economy equities in Europe, North America, Japan and Australia. The fund's investment strategy focuses on companies with steady cash flow, relatively low debt and low- priced shares. The fund may also invest its assets in derivatives contracts both for hedging purposes and within the fund's investment strategy.",Finland,MSCI World TR USD,Global,156.03,-0.12,,"ex Weapons, ex Tobacco, ex Adult Entertainment, ex Nuclear, ex Fossil Energy",,TRUE,,7,0.06,0.03,0.00,0.00,0.02,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.19,0.00,0.01,0.00,0.00,0.16,0.02,0.00,0.00,0.00,0.00,"1,438.23",87.31,% Targets set,0.49,0.19,0.03,0.03,0.24
CH0424136858,CSIF (CH) Equity World ex CH ESG Blue FB,N/A,SRI,Credit Suisse Asset Management,"43,363.00",SwissFranc,"This Index Tracker Fund is passively managed aiming to replicate the performance of the MSCI World ex Switzerland ESG Leaders (NR). Rather than investing in all securities contained in the index, the Fund may use an optimized sampling strategy and invest mainly in a representative selection of equities and equity type securities and rights, including shares, dividend-right certificates, shares in cooperatives, participation certificates, issued by companies which are part of the index.",Switzerland,Index is not available on Lipper Database,Global,"1,103.12",-0.20,,,,TRUE,,7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.03,-0.01,0.19,0.01,0.00,0.00,0.01,0.15,0.02,0.00,0.00,0.00,0.00,"2,186.16",79.78,% Targets set,0.30,0.17,0.03,0.06,0.32
LU1989763773,CPR Invest - Future Cities A EUR Cap,Article 9,SRI,CPR Asset Management,"43,725.00",Euro,"The Compartments objective is to outperform global equity markets over a long-term period (minimum of five years) by investing in international equities which contribute to urbanisation and sustainable development of cities, while integrating Environmental, Social and Governance (E, S, and G or, when taken together, ESG) criteria in the investment process.",Luxembourg,MSCI AC World CR EUR,Global,45.10,-0.23,,"ex Weapons, ex Tobacco, ex Nuclear, ex Fossil Energy",,TRUE,TRUE,7,0.02,0.02,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.08,0.04,0.17,0.09,0.10,0.04,0.00,0.00,0.07,0.02,0.01,0.00,0.02,0.01,0.00,"7,016.13",273.87,% Targets set,0.13,0.16,0.06,0.10,0.50
LU1667873787,CapitalAtWorkFoyer- ESG EqsAtWork C EUR,Article 8,SRI,CapitalatWork Management Company SA,"43,138.00",Euro,The Fund aims to generate capital gains for investors by investing predominantly in equities of companies regardless of their location. Companies are selected according to their financial attractiveness but also on the basis of non-financial criteria that meet CapitalatWorks SRI (socially responsible investing) requirements.,Luxembourg,Index is not provided by Management Company,Global,184.59,-0.18,,"ex Weapons, ex Tobacco, ex Adult Entertainment, ex Nuclear, ex Fossil Energy",Best in Class,TRUE,TRUE,7,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.00,0.04,0.04,0.19,0.00,0.00,0.04,0.00,0.11,0.04,0.00,0.00,0.00,0.00,"1,296.19",54.51,% Targets set,0.32,0.23,0.02,0.06,0.34
GB00BF0WBJ63,BNY Mellon Sustainable Global Equity Inst W Acc,Article 8,SRI,BNY Mellon Asset Management,"43,122.00",UKPence,"The objective of the Sub-Fund is to achieve capital growth and income over the long term from a portfolio predominantly invested in global equities.The Sub-Fund aims to achieve its objective through investing in a concentrated portfolio of global companies that demonstrate attractive investment attributes and sustainable business practices. All investments will also be expected to conform to the Investment Managers sustainability criteria, where environmental, social, governance (ESG) is an integral part of the criteria.",UK,MSCI AC World NR GBP,Global,78.27,-0.24,,,,TRUE,,7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.06,0.02,0.09,0.03,0.27,0.02,0.00,0.00,0.04,0.23,0.01,0.00,0.00,0.00,0.00,"2,801.53",147.86,% Targets set,0.34,0.14,0.00,0.02,0.43
LU1953136790,BNPP Easy ECPI Circular Economy Leaders Track Cl C,Article 9,SRI,Bnp Paribas Am,"43,579.00",Euro,"The Fund seeks to replicate (with a maximum tracking error of 1%) the performance of the ECPI Circular Economy Leaders Equity (NR) index (the Index) by investing in shares issued by companies included in the Index, respecting the Index's weightings (full replication), or in a sample of shares issued by companies included in the index (optimized replication). The Index is composed of companies related to the opportunities offered by the Circular Economy with positive Environmental, Social and Corporate Governance (ESG) ratings and based on their efforts to reduce their exposure to coal and unconventional fossil fuels.",Luxembourg,Index is not available on Lipper Database,Global,668.68,-0.18,,"ex Weapons, ex Tobacco, ex Fossil Energy",Thematic,TRUE,,7,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.08,0.06,0.02,0.02,-0.04,0.12,0.00,0.00,0.00,0.02,0.02,0.08,0.00,0.02,0.00,0.00,"4,474.53",224.32,% Targets set,0.31,0.08,0.04,0.15,0.40
IE00BFZP7Z86,BlackRock Advantage World Equity D USD Acc,Article 8,SRI,Blackrock Asset Management,"43,255.00",USDollar,"The Fund aims to achieve long-term capital growth on your investment. The Fund seeks to gain at least 70% of its investment exposure to equity securities of companies domiciled in, listed in, or the main business of which is in, global developed markets. This is achieved by investing in equity securities, other equity-related securities and, when determined appropriate fixed income securities, money market instruments, deposits and cash.The FIsecurities and MMIs may be issued by governments, government agencies, companies and superanationals and will be investment grade at the time of purchase.",Ireland,MSCI World TR USD,Global,308.23,-0.19,,"ex Weapons, ex Tobacco, ex Fossil Energy, ex Other",,TRUE,,7,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.11,0.03,0.03,-0.08,0.20,0.01,0.00,0.01,0.01,0.16,0.02,0.00,0.00,0.00,0.00,"4,746.77",118.47,% Targets set,0.27,0.22,0.03,0.05,0.36
GB00BGRLQN21,ACS World Multifactor ESG Eq Tracker X1 GBP,N/A,SRI,Blackrock Asset Management,"43,658.00",UKPence,"The Fund aims to provide a return on your investment by tracking closely the performance of the MSCI World Select Multiple Factor ESG Low Carbon Target Index.The Fund invests in equity securities of companies that make up the Benchmark Index and at times invest indirectly via other equity-related investments giving exposure to such companies.The Fund may also invest in other asset classes including money-market instruments, deposits and units in collective investment schemes or other assets to achieve its investment objective and/or for liquidity purposes.",UK,Index is not available on Lipper Database,Global,"1,829.22",-0.15,,"ex Weapons, ex Tobacco, ex Adult Entertainment, ex Nuclear, ex Alcohol or Drugs, ex Fossil Energy, ex Other",,TRUE,,7,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.08,0.01,0.05,-0.03,0.26,0.01,0.00,0.00,0.02,0.18,0.06,0.00,0.00,0.00,0.00,"2,298.81",111.44,% Targets set,0.32,0.19,0.02,0.03,0.36
DK0060192185,Nordea Invest Klima og Miljo KL 1,Article 9,SRI,Nordea Asset Management,"40,130.00",DanishKrone,The Fund invests globally in equity securities of companies that are directly or indirectly involved in activities to improve the climate and environment. The Fund primarily invests its assets in listed shares and may invest up to 10 % of assets in unlisted shares.,Denmark,Index is not provided by Management Company,Global,483.97,-0.20,,"ex Weapons, ex Tobacco, ex Fossil Energy",,TRUE,,7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.04,0.11,0.05,0.22,0.03,0.00,0.00,0.06,0.00,0.08,0.00,0.11,0.00,0.00,"3,735.57",314.24,% Targets set,0.41,0.10,0.00,0.15,0.26
TW000T2031Y0,Jih Sun Anti-Global Warming Fund,N/A,Cleantech,Jih Sun Securities Investment Trust Co Ltd,"39,464.00",TaiwanDollar,The fund aims to pursuit long term appreciation and stable income by investing a minimum of 70% of the net assets in equities and Depositary Receipts from around the world including Taiwan. A minimum of 50% of the net assets will invest in foreign securities. The fund will invest a minimum of 60% of the net assets in the equities of companies related to the theme of global warming (1) renewable energy (2) resources (3) energy saving (4) control of environmental pollution (5) other anti-global warming new industries.,Taiwan,Index is not provided by Management Company,Global,9.67,-0.28,,,Thematic,TRUE,,7,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.00,0.07,0.03,0.31,0.02,0.00,0.00,0.03,0.18,0.09,0.00,0.02,0.00,0.00,"2,621.19",167.17,% Targets set,0.25,0.26,0.02,0.02,0.16
AU00000RARI9,Russell Inv Australian Responsible Investment ETF,N/A,SRI,Russell Investments,"42,095.00",AustralianDollar,"To provide a total return before costs and tax, in line with the Russell Australia ESG High Dividend Index over the long term. The Fund seeks to track the performance of the Russell Australia ESG High Dividend Index by investing predominantly in Australian shares and trusts listed on the ASX.",Australia,Index is not available on Lipper Database,Australia,167.86,-0.12,,"ex Weapons, ex Tobacco, ex Adult Entertainment, ex Alcohol or Drugs, ex Fossil Energy",,TRUE,,6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.04,0.00,0.00,-0.04,0.21,0.00,0.04,0.00,0.00,0.13,0.04,0.00,0.01,0.00,0.00,426.80,116.42,% Targets set,0.68,0.16,0.00,0.00,0.11
LU1956135328,BNP Paribas Sust Europe Mlt-Fctr Eq Classic Cap,Article 8,SRI,Bnp Paribas Am,"43,721.00",Euro,"The Fund seeks to increase the value of its assets over the medium term by investing in shares issued by European companies,. It is actively managed and as such may invest in securities that are not included in the index which is MSCI Europe (NR). The portfolio is built based on a systematic approach, combining several equity factor criterions such as value, profitability, low-volatility and momentum. The investment team applies also BNP PARIBAS ASSET MANAGEMENTs sustainable Investment Policy, which takes into account Environmental, Social and Governance (ESG) criteria in the investments of the Fund.",Luxembourg,MSCI Europe NR EUR,Global,364.88,-0.17,,"ex Weapons, ex Tobacco, ex Fossil Energy, ex Other",,TRUE,,7,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.11,0.00,0.01,-0.10,0.34,0.02,0.00,0.00,0.01,0.21,0.11,0.00,0.00,0.00,0.00,"6,747.28",76.20,% Targets set,0.15,0.16,0.00,0.05,0.50
DE000A0M80G4,UniNachhaltig Aktien Global,Article 8,SRI,Union Investment,"40,087.00",Euro,The aim of the equity fund is to generate long-term capital growth in addition to generating income in line with the market. At least 75 percent of the fund's assets must consist of shares whose issuers and/or their use of funds correspond to sustainability or take account of the idea of sustainability. Up to 25 percent of the fund assets may be invested in money market instruments or bank deposits. Derivatives can be used for investment and hedging purposes.,Germany,MSCI World TR EUR,Global,"4,108.61",-0.22,Sustainable Development Goals (SDGs),"ex Weapons, ex Nuclear, ex Fossil Energy",Best in Class,TRUE,,7,0.01,0.01,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.04,0.00,0.06,0.02,0.24,0.02,0.00,0.00,0.01,0.20,0.01,0.00,0.01,0.00,0.00,"1,926.91",74.82,% Targets set,0.33,0.18,0.02,0.02,0.38
SE0005249661,Swedbank Robur Global High Dividend A,Article 8,SRI,Swedbank Robur Fonder AB,"41,614.00",SwedishKrona,"The fund invests in equities worldwide that can be expected to provide a high direct return, which means that the size of the dividend in relation to the price of the share is high. In addition to equities, the fund may invest its funds in transferable securities, money market instruments, fund units, derivative instruments and in accounts with credit institutions. The fund has an active investment strategy with a long-term investment horizon and selects the companies that we consider to be attractively valued in relation to our view of the company's future earnings potential.",Sweden,MSCI AC World NR USD,Global,467.11,-0.14,Sustainable Development Goals (SDGs),"ex Weapons, ex Tobacco, ex Adult Entertainment, ex Nuclear, ex Alcohol or Drugs, ex Fossil Energy",,TRUE,,7,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.10,0.07,0.19,0.00,0.00,0.00,0.00,0.14,0.02,0.00,0.00,0.03,0.00,"1,297.95",87.56,% Targets set,0.36,0.06,0.02,0.04,0.43
GB00B7W30613,Stewart Investors WW Sust. B Acc GBP,N/A,SRI,First Sentier Investors,"41,214.00",UKPence,"The Fund will seek to invest in a diverse portfolio of equity securities which are listed, traded or dealt in on any of the Regulated Markets worldwide. Investment decisions around sustainability are based on three key points: identifying companies who actively manage sustainability, sustainability developers or those who have a positive sustainability impact; taking into consideration environmental, social and governance matters; buying or selling shares in companies depending on their involvement in sustainability",UK,MSCI AC World TR GBP,Global,791.40,-0.27,,,,TRUE,,7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.26,0.00,0.00,0.00,0.00,0.20,0.04,0.00,0.01,0.00,0.00,165.64,28.17,% Targets set,0.52,0.14,0.03,0.00,0.22
FR0000294613,Lazard Alpha Europe A,Article 8,SRI,Lazard Freres Gestion,"33,007.00",Euro,"The management objective is to obtain over the recommended investment period of 5 years a performance net of fees higher than that of the following benchmark: Stoxx Europe 600. The benchmark is expressed in EUR. Dividends or net coupons are reinvested. The Sicav portfolio is invested up to a minimum of 90% of net assets in equities, and will strive to be invested mainly in large cap European equities, this rule does not however constitute a constraint.",France,STOXX Europe 600 NR EUR,Europe,59.46,-0.11,,,,TRUE,,9,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.00,0.07,0.02,0.08,0.00,0.00,0.00,0.00,0.08,0.00,0.00,0.00,0.00,0.00,"3,603.49",100.71,% Targets set,0.10,0.25,0.05,0.10,0.44
LU1048876350,RAM (Lux) SF-Global Sustnbl Inc Eqs IP USD Cap,Article 8,SRI,RAM Active Investments Europe SA,"41,766.00",USDollar,"At least two-thirds of the sub-fund will be invested in shares of companies in developed countries. For the remaining third of net assets, the sub-fund may also invest in fixed-income instruments such as bonds and convertible bonds, when market conditions make such investments necessary. The sub-fund may invest up to 10% of its net assets in units of UCITS or other UCIs. Furthermore, the sub-fund may hold cash on an ancillary and temporary basis and may also, within legal limits, use derivative products to hedge or optimise portfolio exposure. The portfolio is managed on a systematic basis without using a reference benchmark.",Luxembourg,MSCI World High Dividend Yield NR,Global,NA,-0.13,,,,TRUE,,7,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.01,0.02,0.00,0.33,0.03,0.00,0.02,0.01,0.21,0.06,0.01,0.00,0.00,0.00,"1,020.23",72.83,% Targets set,0.55,0.12,0.01,0.03,0.22
DK0060446706,PFA Invest Globale Aktier,Article 8,SRI,Pfa Invest Investeringsforeningen,"41,183.00",DanishKrone,The fund invests globally in listed equities selected based on specific expectations of the individual stock's returns. The fund has a spread with a portfolio of between 25 and 75 shares.,Denmark,MSCI AC World TR USD,Global,428.03,-0.21,,ex Weapons,,TRUE,,7,0.05,0.01,0.00,0.00,0.00,0.00,0.00,0.05,0.03,0.08,0.03,0.04,-0.03,0.22,0.00,0.00,0.00,0.05,0.18,0.03,0.00,0.00,0.00,0.00,"4,214.31",136.05,% Targets set,0.25,0.19,0.04,0.01,0.48
AU60HHA00023,Pengana Axiom International Ethical (Hedged),N/A,SRI,Pengana Investment Management Ltd,"37,224.00",AustralianDollar,"The Fund's investment objective is to obtain returns greater than the MSCI All Country World Total Return Index (net, hedged to AUD) (Index) over the medium to long term. The Fund invests principally in listed (or soon to be listed) international equities. The Fund will typically have 45 to 75 holdings and can invest in developed and emerging markets. The capital component of the foreign currency exposure of the Fund arising from investments in overseas markets is substantially hedged back to Australian Dollars.",Australia,Index is not available on Lipper Database,Global,26.45,-0.38,,"ex Weapons, ex Tobacco, ex Adult Entertainment, ex Nuclear, ex Alcohol or Drugs, ex GMO, ex Fossil Energy, ex Other",,TRUE,,7,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.07,0.07,0.29,0.00,0.00,0.00,0.00,0.21,0.07,0.00,0.01,0.00,0.00,"1,982.15",50.85,% Targets set,0.37,0.22,0.02,0.03,0.37
DK0010301324,Nordea Invest Global Stars KL 1,Article 8,SRI,Nordea Asset Management,"37,932.00",DanishKrone,"The fund invests globally in equities. The companies in which investments are made must focus on environmental, social and business ethics issues (overall ESG issues). The fund will primarily invest its assets in listed shares and can invest up to 10 per cent. of the assets in unlisted shares.",Denmark,MSCI AC World NR USD,Global,"1,281.40",-0.18,,"ex Weapons, ex Tobacco, ex Fossil Energy",,TRUE,,7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.02,0.04,0.01,0.22,0.00,0.00,0.00,0.03,0.18,0.03,0.00,0.01,0.00,0.00,"3,101.91",142.59,% Targets set,0.33,0.23,0.00,0.06,0.34
SE0000524449,Nordea Institutionella Aktiefonden Varlden utd,Article 8,SRI,Nordea Asset Management,"35,926.00",SwedishKrona,"The fund invests globally in equities. The fund may also invest in an account with a credit institution. The fund is managed after a so-called Stock-picking process. The selection of shares in the fund is based on a combination of financial analysis and ESG analysis, ie. analysis of how the companies handle risks and opportunities in terms of the environment, social issues and business ethics. Only companies that manage their ESG risks and opportunities in a good way and are interesting from a financial perspective will be relevant for the fund to invest in.",Sweden,MSCI ACWI All Cap NR EUR,Global,171.51,-0.19,NA,NA,NA,NA,NA,7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.22,0.00,0.00,0.00,0.00,0.18,0.03,0.00,0.01,0.00,0.00,"1,680.58",55.21,% Targets set,0.32,0.22,0.00,0.06,0.38
LU0985320562,Nordea 1 - Global Stars Equity BP USD,Article 8,SRI,Nordea Asset Management,"42,507.00",USDollar,"This Sub-fund invests globally and shall invest a minimum of three-fourths of its Total Assets worldwide in equities and Equity Related Securities. This Sub-fund will have particular focus on the companies ability to comply with international standards for environmental, social and corporate governance and use this actively in the investment process.",Luxembourg,MSCI AC World NR USD,Global,"1,919.49",-0.18,,"ex Weapons, ex Tobacco, ex Fossil Energy",,TRUE,TRUE,7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.02,0.04,0.01,0.22,0.00,0.00,0.00,0.03,0.18,0.03,0.00,0.01,0.00,0.00,"3,113.28",143.47,% Targets set,0.33,0.23,0.00,0.06,0.34
LU1190462546,Inflection Point Carbon Impact Global S EUR,Article 9,SRI,La Francaise Am,"42,170.00",Euro,"The fund has 3 primary objectives: to take advantage of the growth potential of the international equity market including emerging market countries; to actively seek out and invest in companies delivering solutions to the climate change challenge including reducing carbon emissions; and to outperform, in the long term (5 years) the MSCI All Country World Index. The fund will invest in international equities including emerging markets of all market capitalizations without geographical or sectoral predominance. The management objective of the Sub-Fund is to generate long-term capital growth.",Luxembourg,MSCI AC World NR EUR,Global,NA,-0.22,,,,TRUE,,7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.20,0.14,0.02,0.00,0.00,0.00,0.06,0.02,0.00,0.01,0.02,0.00,"1,643.57",75.11,% Targets set,0.29,0.12,0.06,0.04,0.40
